"objectid","BLOCKFACE_ID","AREA_TYPE","PM_DISTRICT_ID","BLOCK_NUM","BLOCK_ID","STREET_ID","STREET_NAME","BLOCKFACE_ORIENTATION","STR_NUM_PARITY","STR_SEG_ORIENTATION","FM_ADDR_NO","TO_ADDR_NO","ENDPT1_LONGITUDE","ENDPT1_LATITUDE","ENDPT2_LONGITUDE","ENDPT2_LATITUDE","CREATED_DT","LAST_UPD_DT","LAST_UPD_USER","LAST_UPD_PGM","NEIGHBORHOOD_ID","shape","data_as_of","data_loaded_at","analysis_neighborhood","supervisor_district"
"1879041","110042","Control","9","4","11004","110","10TH AVE","E","Even","L","400","498","-122.46847934","37.7805923","-122.46846736","37.78042688","2016-02-04 07:49:02-08:00","2016-02-04 08:00:19-08:00","OpenGeoUser","OpenGeo - blockfaces.html","0","LINESTRING (-122.468479337 37.780592299, -122.46846736 37.780426881)","2026 Jul 11 02:13:39 AM","2026 Jul 11 10:30:56 AM","Inner Richmond","1"
"1877546","125041",,"21","4","12504","125","25TH AVE","W","Odd","R","401","499","-122.48495474","37.78184269","-122.48494066","37.78165259","2011-02-11 02:57:05-08:00","2023-09-15 01:49:11-07:00","Randy","SQL Dev-Init. NEIGHBORHOOD_ID","0","LINESTRING (-122.484954737 37.781842688, -122.484940656 37.781652585)","2026 Jul 11 02:13:39 AM","2026 Jul 11 10:30:56 AM","Outer Richmond","1"
"1876456","440431","Control","9","43","44043","440","GEARY BLVD","S","Odd","L","4301","4399","-122.46553108","37.7808268","-122.46621907","37.78079561","2011-02-11 02:57:05-08:00","2011-12-14 06:11:06-08:00","Randy","SQL Dev-Init. NEIGHBORHOOD_ID","0","LINESTRING (-122.46553108 37.780826795, -122.466219071 37.780795615)","2026 Jul 11 02:13:39 AM","2026 Jul 11 10:30:56 AM","Inner Richmond","1"
"1877407","102042","Control","9","4","10204","102","02ND AVE","E","Even","L","400","498","-122.45991853","37.7810179","-122.45990948","37.78090424","2011-02-11 02:57:05-08:00","2011-12-14 06:11:08-08:00","Randy","SQL Dev-Init. NEIGHBORHOOD_ID","0","LINESTRING (-122.459918527 37.781017904, -122.459909475 37.780904245)","2026 Jul 11 02:13:39 AM","2026 Jul 11 10:30:56 AM","Inner Richmond","1"
"1878512","691152","Control","8","15","69115","691","UNION ST","N","Even","R","1500","1598","-122.42454235","37.79854355","-122.42550795","37.79842084","2011-02-11 02:57:05-08:00","2011-12-14 06:11:10-08:00","Randy","SQL Dev-Init. NEIGHBORHOOD_ID","0","LINESTRING (-122.424542346 37.798543553, -122.425507946 37.798420841)","2026 Jul 11 02:13:39 AM","2026 Jul 11 10:30:56 AM","Marina","2"
"1876555","722211","Pilot","5","21","72221","722","WEBSTER ST","W","Odd","L","2001","2199","-122.43244015","37.7898793","-122.43261718","37.79075538","2011-02-11 02:57:05-08:00","2011-12-14 06:11:06-08:00","Randy","SQL Dev-Init. NEIGHBORHOOD_ID","5","LINESTRING (-122.432440153 37.7898793, -122.43261718 37.790755381)","2026 Jul 11 02:13:39 AM","2026 Jul 11 10:30:56 AM","Pacific Heights","2"
"1877690","659051",,"19","5","65905","659","SPRUCE ST","W","Odd","R","501","523","-122.453449","37.78627439","-122.45338061","37.78595856","2011-02-11 02:57:05-08:00","2011-12-14 06:11:08-08:00","Randy","SQL Dev-Init. NEIGHBORHOOD_ID","0","LINESTRING (-122.453449004 37.786274391, -122.453380608 37.78595856)","2026 Jul 11 02:13:39 AM","2026 Jul 11 10:30:56 AM","Presidio Heights","2"
"1878714","363113","Pilot","6","11","36311","363","COLUMBUS AVE","SW","Odd","L","1151","1199","-122.41692116","37.80485124","-122.41714947","37.80500805","2011-03-15 05:58:40-07:00","2012-10-09 06:12:47-07:00","OpenGeoUser","OpenGeo - blockfaces.html","6","LINESTRING (-122.41692116 37.804851239, -122.417149467 37.805008047)","2026 Jul 11 02:13:39 AM","2026 Jul 11 10:30:56 AM","Russian Hill","3"
"1878425","830041",,"11","4","83004","830","EMBARCADERO NORTH","SW","Odd","L","401","499","-122.39695753","37.79815896","-122.39753152","37.79881386","2011-02-11 02:57:05-08:00","2018-05-05 01:02:55-07:00","OpenGeoUser","OpenGeo - blockfaces.html","0","LINESTRING (-122.396957529 37.798158963, -122.397531522 37.798813859)","2026 Jul 11 02:13:39 AM","2026 Jul 11 10:30:56 AM","Financial District/South Beach","3"
"1877738","336131",,"15","13","33613","336","BUSH ST","S","Odd","L","1301","1399","-122.41879501","37.78881714","-122.42008248","37.78865319","2011-02-11 02:57:05-08:00","2011-12-14 06:11:08-08:00","Randy","SQL Dev-Init. NEIGHBORHOOD_ID","0","LINESTRING (-122.418795011 37.788817139, -122.420082478 37.788653188)","2026 Jul 11 02:13:39 AM","2026 Jul 11 10:30:56 AM","Nob Hill","3"
