Event ID,Event Name,Event Description,Event Class,Event Information Source,Reference URL,Effective From Date,Effective To Date,From Time,To Time
557,Folsom Street Fair,Street Fair,StrClose,,,9/24/2017,9/24/2017,3:00 AM,11:00 PM
556,Folsom Street Fair,Street Fair,StrClose,,,9/25/2016,9/25/2016,3:00 AM,11:00 PM
491,Oracle Open World,Large Conference,PkDemandUp,,,10/22/2015,10/30/2015,8:00 PM,3:00 PM
546,Chinese New Year Parade,Parade,StrClose,,,3/7/2015,3/17/2015,5:00 PM,8:00 PM
531,Chinese Community Street Fair,Fair,StrClose,,,3/6/2015,3/8/2015,11:00 PM,11:00 PM
548,Chinese New Year Run,Athletic,StrClose,,,2/28/2015,2/28/2015,7:00 AM,10:00 AM
532,Chinese Flower Market Fair,Fair,StrClose,,,2/13/2015,2/15/2015,11:00 PM,11:00 PM
584,Nike Marathon,Athletic,StrClose,,,10/19/2014,10/19/2014,,
490,Oracle Open World,Large Conference,PkDemandUp,,,9/25/2014,10/3/2014,8:00 PM,3:00 PM
545,Chinese New Year Parade,Parade,StrClose,,,2/15/2014,2/15/2014,5:00 PM,8:00 PM
530,Chinese Community Street Fair,Fair,StrClose,,,2/14/2014,2/16/2014,11:00 PM,11:00 PM
547,Chinese New Year Run,Athletic,StrClose,,,2/9/2014,2/9/2014,7:00 AM,10:00 AM
580,KP SF Half Marathon,Athletic,StrClose,,,2/2/2014,2/2/2014,7:00 AM,10:00 AM
659,US Fall Half Marathon,Athletic,StrClose,,,11/3/2013,11/3/2013,6:30 AM,10:30 AM
660,US Fall Half Marathon,Athletic,StrClose,,,11/2/2013,11/3/2013,10:00 AM,1:00 PM
487,Noe Valley Harvest Festival,Festival,PkDemandUp,,,10/26/2013,10/26/2013,6:00 AM,8:00 PM
349,Fiesta On The Hill,Fair,PkDemandUp,,,10/20/2013,10/20/2013,12:00 AM,12:00 AM
583,Nike Marathon,Athletic,StrClose,,,,10/20/2013,,
453,Litquake,,PkDemandUp,,,10/19/2013,10/19/2013,4:00 PM,11:00 PM
582,Lower Haight Urban Air Market,,StrClose,,,10/12/2013,10/12/2013,7:00 AM,7:00 PM
512,Bridge to Bridge Run,Athletic,StrClose,,,10/6/2013,10/6/2013,8:00 AM,10:30 AM
385,Giants Home Game,Baseball game,PkDemandUp,Internet,http://sanfrancisco.giants.mlb.com/schedule/,9/29/2013,9/29/2013,1:00 PM,5:30 PM
549,Cole Valley Fair,Fair,StrClose,,,,9/29/2013,6:00 AM,7:00 PM
555,Folsom Street Fair,Street Fair,StrClose,,,,9/29/2013,3:00 AM,10:00 PM
562,Folsom Street Fair After Party,,StrClose,,,,9/29/2013,3:00 AM,12:00 AM
648,Sunday Streets in the Excelsior District,Sunday Streets,StrClose,,,,9/29/2013,10:30 AM,4:30 PM
